"filename", "language", "JavaScript", "vue", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"d:\destok\QingShanpump-main\src\views\RightBody\LastRightViewone.vue", "vue", 0, 128, 0, 0, 0, 0, 7, 135
"d:\destok\QingShanpump-main\src\views\RightBody\SearchFriend.vue", "vue", 0, 299, 0, 0, 0, 1, 51, 351
"d:\destok\QingShanpump-main\src\views\RightBody\TopCenter.vue", "vue", 0, 65, 0, 0, 0, 0, 16, 81
"d:\destok\QingShanpump-main\src\views\RightBody\officialDshop.vue", "vue", 0, 182, 0, 0, 0, 1, 24, 207
"d:\destok\QingShanpump-main\src\views\Scoring\ScoringContent.vue", "vue", 0, 204, 0, 0, 0, 7, 24, 235
"d:\destok\QingShanpump-main\src\views\UserBody\userContent\UserView.vue", "vue", 0, 604, 0, 0, 0, 11, 65, 680
"d:\destok\QingShanpump-main\src\views\UserBody\userLogin\LoginView.vue", "vue", 0, 249, 0, 0, 0, 1, 36, 286
"d:\destok\QingShanpump-main\src\views\UserBody\userRegister\RegisterView.vue", "vue", 0, 201, 0, 0, 0, 0, 23, 224
"d:\destok\QingShanpump-main\src\views\bookmark\AIGirlfriend.vue", "vue", 0, 429, 0, 0, 0, 1, 61, 491
"d:\destok\QingShanpump-main\src\views\bookmark\OpenPageManager.vue", "vue", 0, 246, 0, 0, 0, 0, 28, 274
"d:\destok\QingShanpump-main\src\views\errors\403Vue.vue", "vue", 0, 138, 0, 0, 0, 0, 19, 157
"d:\destok\QingShanpump-main\src\views\errors\404Vue.vue", "vue", 0, 101, 0, 0, 0, 0, 18, 119
"Total", "-", 622, 12019, 31, 108, 1, 194, 1543, 14518
